Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
1/2/2023,416.75,0,16.67,0,DAQIAN MARSHMALLOW 500G, RM7.10 
1/2/2023,750,150,0,0,DOLPHIN MIX FRUIT NATA JELLY 100PCS, RM7.90 
1/2/2023,304.2,15.3,15.3,0,DOLPHIN MIX FRUIT NATA PUDDING 85GX6PCS, RM4.15 
1/2/2023,26.775,0,167.025,116.025,MARINA SARDIN 425G, RM5.86 
1/2/2023,280,0,0,20,RAINBOW SPARY 20PCS, RM6.00 
1/2/2023,96.3,0,27,17.1,VITAMILK D/CHOCO SHAKE 300ML, RM1.84 
1/2/2023,300,20,100,120,V-SOY MULTI-GRAIN 1000ML, RM4.54 
1/2/2023,45,3,6,36,WATER GAME 8PCS, RM2.08 
3/2/2023,417,0,85.1,134,ALIBABA MELON SEEDS CHOC 1000G, RM17.70 
3/2/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA G+S 24PCS, RM7.10 
3/2/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA M+L 24PCS, RM7.10 
3/2/2023,369.6,0,39,159,CADBURY D/MILK MARVC JELLY POP 150G, RM7.40 
3/2/2023,29.25,0,3.9,15.5,CADBURY DAIRY MILK BUBBLY 50G, RM2.73 
3/2/2023,210.528,0,18.36,65.484,CHIPSMORE ORIGINAL 153G, RM3.56 
3/2/2023,272,16,32,72,JACOB'S WEETAMEAL 8PCS (BOX), RM5.09 
3/2/2023,244,0,38.5,73,MAGGI 2MNT BIG AYAM 5PCS, RM4.95 
3/2/2023,219.5,0,33,78,MAGGI MI GORENG SAMBAL T/BILIS 5PCS, RM5.79 
3/2/2023,95.62,5.04,16.1,4.9,MAGGI PAZZTA MUSHROOM PENNE 70G, RM2.79 
3/2/2023,59.461,0,8.148,20.661,MAGGI PEDAS GILER SEA FOOD 97G (BOWL), RM3.18 
3/2/2023,188.864,8.172,12.712,55.388,OREO SMALL CRUSHED COOKIES PIECES 454G, RM9.46 
3/2/2023,54,0,4.5,14.25,TIGER BISKUAT SUSU 75G, RM0.97 
3/2/2023,232.9,0,501.5,870.4,ZIZI KUACI CARAMEL 108G, RM1.90 
6/2/2023,3216,0,60,6,KIMBALL SOS LADA HITAM 1KG, RM6.85 
6/2/2023,1024,0,28,0,KIMBALL SOS TOMATO 1KG, RM4.43 
6/2/2023,38.27,0,8.17,0.43,KIMBALL PATI TOMATO 430G, RM4.30 
6/2/2023,376.2,0,3.96,0,SUNQUICK MANDARIN 330ML, RM2.75 
6/2/2023,113.76,0,25.2,14.64,ADABI KARI IKAN 24G, RM1.06 
6/2/2023,0.646,0,0.221,0.119,ADABI NASI GORENG TOM YAM 17G, RM1.00 
6/2/2023,432.6,0,48.3,308.7,ADABI PERENCAH IKAN BAKAR 350G, RM6.50 
6/2/2023,72,39.6,28.8,82.8,ADABI PERENCAH ODEN TOM YAM 120G,RM5.39
6/2/2023,38.64,7.56,8.96,22.68,ADABI PERENCAH TOM YAM PUTIH 40G,RM1.30
6/2/2023,138.4,0,16.8,58.4,ADABI PERENCAH TOM YAM SEAFOOD 200G,RM5.00
6/2/2023,128,0,0,0,ALIBABA JELLY DRINK 90MLX20PCS, RM7.10 
6/2/2023,470.4,0,24,0,ALIBABA VIVI JELLY NATA 12PCS, RM3.75 
6/2/2023,110.8,0,20.4,160,ALICAFE 250ML, RM3.50 
6/2/2023,112.5,0,0,0,BESBITE MILK ICE TUBE 450ML, RM2.10 
6/2/2023,900,0,100,100,BESBITE POP-POP ICE TUBE 750ML, RM1.70 
6/2/2023,84,0,26,13.2,DUTCH LADY CHOCO 1LIT, RM5.71 
